employee_id,employee_name,email,department,position,manager,employment_type,employment_status,hire_date,termination_date,tenure_years,termination_reason,termination_category,tenure_band
486,Randy Smith,employee486@uptime-solutions.com,Operations,Operations Manager,Travis Wheeler,Full-Time,Terminated,2022-09-20,2026-07-06,3,Strike or Lockout,Involuntary,2-3 Years
31,Jessica Durham,employee31@uptime-solutions.com,Human Resources,HR Specialist,Mark Baker,Full-Time,Terminated,2022-04-25,2024-01-19,1,Parental,Voluntary,0-1 Year
37,Wesley Jenkins,employee37@uptime-solutions.com,Information Technology,Data Analyst,Benjamin Cole,Part-Time,Terminated,2025-10-21,2026-12-22,1,Compassionate Care / Family Caregiver,Voluntary,0-1 Year
46,Justin Mckay,employee46@uptime-solutions.com,Finance,Financial Analyst,Travis Wheeler,Part-Time,Terminated,2023-09-07,2026-10-09,3,Compassionate Care / Family Caregiver,Voluntary,2-3 Years
58,Tonya Wilson,employee58@uptime-solutions.com,Information Technology,Software Developer,Alicia Fisher,Contract,Terminated,2024-04-01,2026-08-08,2,Compassionate Care / Family Caregiver,Voluntary,2-3 Years
78,Daniel Houston,employee78@uptime-solutions.com,Human Resources,HR Specialist,Joseph Archer,Full-Time,Terminated,2021-11-13,2022-10-20,0,Maternity,Voluntary,0-1 Year
86,Kimberly Lee,employee86@uptime-solutions.com,Human Resources,HR Specialist,Amy Love,Part-Time,Terminated,2024-04-17,2024-12-20,0,Parental,Voluntary,0-1 Year
107,Richard Chan,employee107@uptime-solutions.com,Operations,Field Technician,Wesley Lloyd,Full-Time,Terminated,2021-12-11,2025-02-26,3,Compassionate Care / Family Caregiver,Voluntary,2-3 Years
114,Antonio Horn,employee114@uptime-solutions.com,Sales,Sales Representative,Brenda Odom,Temporary,Terminated,2026-12-10,2026-12-18,0,Maternity,Voluntary,0-1 Year
138,Jocelyn Clarke,employee138@uptime-solutions.com,Human Resources,HR Specialist,Benjamin Cole,Full-Time,Terminated,2023-02-07,2026-06-01,3,Return to School,Voluntary,2-3 Years
140,Tyler Taylor,employee140@uptime-solutions.com,Finance,Financial Analyst,Tricia Stephens,Full-Time,Terminated,2025-10-19,2026-02-01,0,Quit,Voluntary,0-1 Year
148,Thomas Wyatt,employee148@uptime-solutions.com,Information Technology,Data Analyst,Benjamin Cole,Part-Time,Terminated,2025-10-05,2025-10-20,0,Quit,Voluntary,0-1 Year
149,Kelly Wu,employee149@uptime-solutions.com,Sales,Sales Representative,Jill Romero,Temporary,Terminated,2022-04-20,2025-01-08,2,Quit,Voluntary,2-3 Years
166,Kimberly Hoover,employee166@uptime-solutions.com,Human Resources,HR Specialist,Travis Wheeler,Full-Time,Terminated,2025-11-15,2026-01-08,0,Leave of Absence,Voluntary,0-1 Year
185,Carol Marshall,employee185@uptime-solutions.com,Sales,Sales Representative,Amy Love,Contract,Terminated,2024-08-14,2024-12-22,0,Compassionate Care / Family Caregiver,Voluntary,0-1 Year
201,Kevin Brown,employee201@uptime-solutions.com,Human Resources,HR Specialist,Wesley Lloyd,Part-Time,Terminated,2020-02-06,2022-07-28,2,Return to School,Voluntary,2-3 Years
225,Robert Freeman,employee225@uptime-solutions.com,Information Technology,Data Analyst,Tricia Stephens,Contract,Terminated,2024-09-19,2026-02-19,1,Parental,Voluntary,0-1 Year
232,Jennifer Hunter,employee232@uptime-solutions.com,Human Resources,HR Specialist,Wesley Lloyd,Contract,Terminated,2024-09-06,2025-01-15,0,Leave of Absence,Voluntary,0-1 Year
256,Denise Powell,employee256@uptime-solutions.com,Information Technology,Software Developer,Mark Baker,Full-Time,Terminated,2025-03-15,2025-05-09,0,Quit,Voluntary,0-1 Year
280,Pamela Smith,employee280@uptime-solutions.com,Finance,Financial Analyst,Mark Baker,Full-Time,Terminated,2021-05-30,2025-02-15,3,Maternity,Voluntary,2-3 Years
318,Johnny Cobb,employee318@uptime-solutions.com,Human Resources,HR Specialist,Jill Romero,Part-Time,Terminated,2024-06-10,2025-09-16,1,Compassionate Care / Family Caregiver,Voluntary,0-1 Year
329,Jeremy Rodriguez,employee329@uptime-solutions.com,Sales,Sales Representative,Karen Richardson,Full-Time,Terminated,2020-05-08,2023-06-11,3,Return to School,Voluntary,2-3 Years
360,Steven Daugherty,employee360@uptime-solutions.com,Information Technology,Data Analyst,Tricia Stephens,Contract,Terminated,2026-10-22,2026-12-08,0,Leave of Absence,Voluntary,0-1 Year
371,Dawn Howe,employee371@uptime-solutions.com,Information Technology,Data Analyst,Tricia Stephens,Contract,Terminated,2020-07-28,2024-06-03,3,Parental,Voluntary,2-3 Years
378,Jessica Hunter,employee378@uptime-solutions.com,Information Technology,Data Analyst,Travis Wheeler,Full-Time,Terminated,2023-06-30,2025-02-11,1,Return to School,Voluntary,0-1 Year
397,Mary Tucker,employee397@uptime-solutions.com,Information Technology,Data Analyst,Michael Shaffer,Contract,Terminated,2026-12-14,2026-12-28,0,Return to School,Voluntary,0-1 Year
434,Jennifer Horne,employee434@uptime-solutions.com,Human Resources,HR Specialist,Amy Love,Temporary,Terminated,2021-09-15,2022-06-26,0,Parental,Voluntary,0-1 Year
448,Diana Schmidt,employee448@uptime-solutions.com,Operations,Operations Manager,Karen Richardson,Contract,Terminated,2021-11-12,2025-01-16,3,Return to School,Voluntary,2-3 Years
455,Rachel Robinson,employee455@uptime-solutions.com,Finance,Financial Analyst,Debra Pratt,Full-Time,Terminated,2021-04-23,2026-11-28,5,Quit,Voluntary,4-5 Years
491,Bradley Barr,employee491@uptime-solutions.com,Sales,Sales Representative,Richard Dudley,Full-Time,Terminated,2020-01-20,2023-10-12,3,Parental,Voluntary,2-3 Years
41,Jessica Horton,employee41@uptime-solutions.com,Sales,Sales Representative,Benjamin Cole,Full-Time,Probation,2025-07-28,,1,,Active / Unknown,0-1 Year
49,Melissa Matthews,employee49@uptime-solutions.com,Information Technology,Software Developer,Jenny Cook,Part-Time,Probation,2025-05-07,,1,,Active / Unknown,0-1 Year
83,Abigail Jackson,employee83@uptime-solutions.com,Human Resources,HR Specialist,Nicole Smith,Temporary,Probation,2026-08-01,,0,,Active / Unknown,0-1 Year
87,Jackie Carroll,employee87@uptime-solutions.com,Sales,Sales Representative,Alicia Fisher,Contract,Probation,2025-07-17,,1,,Active / Unknown,0-1 Year
92,Ashlee Roberts,employee92@uptime-solutions.com,Sales,Sales Representative,Travis Wheeler,Full-Time,Probation,2025-09-29,,0,,Active / Unknown,0-1 Year
118,Anita Davis,employee118@uptime-solutions.com,Operations,Field Technician,Jill Romero,Contract,Probation,2023-08-13,,3,,Active / Unknown,2-3 Years
121,Melissa Torres,employee121@uptime-solutions.com,Human Resources,HR Specialist,Richard Dudley,Contract,Probation,2025-10-16,,0,,Active / Unknown,0-1 Year
127,Tanya Jimenez,employee127@uptime-solutions.com,Finance,Financial Analyst,Alicia Fisher,Contract,Probation,2024-10-23,,1,,Active / Unknown,0-1 Year
129,Darren Curry,employee129@uptime-solutions.com,Sales,Sales Representative,Brenda Odom,Full-Time,Probation,2026-05-30,,0,,Active / Unknown,0-1 Year
134,Samantha Hill,employee134@uptime-solutions.com,Finance,Financial Analyst,Debra Pratt,Temporary,Probation,2024-03-28,,2,,Active / Unknown,2-3 Years
137,Ashley Mccann,employee137@uptime-solutions.com,Information Technology,Data Analyst,Mark Baker,Part-Time,Probation,2026-11-02,,0,,Active / Unknown,0-1 Year
141,Daniel Lamb,employee141@uptime-solutions.com,Information Technology,Software Developer,Alicia Fisher,Part-Time,Probation,2023-03-20,,3,,Active / Unknown,2-3 Years
146,Gabriel Baldwin,employee146@uptime-solutions.com,Finance,Financial Analyst,Richard Dudley,Part-Time,Probation,2020-02-18,,6,,Active / Unknown,6+ Years
155,Michele Austin,employee155@uptime-solutions.com,Operations,Operations Manager,Travis Wheeler,Full-Time,Probation,2020-04-11,,6,,Active / Unknown,6+ Years
158,Matthew Snyder,employee158@uptime-solutions.com,Finance,Financial Analyst,Michael Shaffer,Full-Time,Probation,2022-04-08,,4,,Active / Unknown,4-5 Years
162,Rachel Bailey,employee162@uptime-solutions.com,Finance,Financial Analyst,Ian Lyons,Full-Time,Probation,2023-03-29,,3,,Active / Unknown,2-3 Years
174,Richard Mckinney,employee174@uptime-solutions.com,Finance,Financial Analyst,Mark Baker,Full-Time,Probation,2023-07-28,,3,,Active / Unknown,2-3 Years
179,Austin Bates,employee179@uptime-solutions.com,Information Technology,Data Analyst,Alicia Fisher,Part-Time,Probation,2023-11-06,,2,,Active / Unknown,2-3 Years
202,Anthony Anderson,employee202@uptime-solutions.com,Finance,Financial Analyst,Amy Love,Temporary,Probation,2025-10-09,,0,,Active / Unknown,0-1 Year
210,Kathy Mendoza,employee210@uptime-solutions.com,Human Resources,HR Specialist,Paul Thompson,Temporary,Probation,2023-07-30,,3,,Active / Unknown,2-3 Years
233,Erin Branch,employee233@uptime-solutions.com,Human Resources,HR Specialist,Alicia Fisher,Temporary,Probation,2026-12-10,,0,,Active / Unknown,0-1 Year
234,Sarah Floyd,employee234@uptime-solutions.com,Finance,Financial Analyst,Joseph Archer,Part-Time,Probation,2025-01-04,,1,,Active / Unknown,0-1 Year
242,Heather Yang,employee242@uptime-solutions.com,Human Resources,HR Specialist,Jenny Cook,Contract,Probation,2022-05-23,,4,,Active / Unknown,4-5 Years
244,Dana Rivera,employee244@uptime-solutions.com,Finance,Financial Analyst,Benjamin Cole,Full-Time,Probation,2023-01-30,,3,,Active / Unknown,2-3 Years
246,Amy Rasmussen,employee246@uptime-solutions.com,Operations,Field Technician,Benjamin Cole,Temporary,Probation,2021-08-28,,5,,Active / Unknown,4-5 Years
247,Brandon Hopkins,employee247@uptime-solutions.com,Sales,Sales Representative,Richard Dudley,Part-Time,Probation,2026-05-27,,0,,Active / Unknown,0-1 Year
250,Cathy Ward,employee250@uptime-solutions.com,Operations,Operations Manager,Mark Baker,Contract,Probation,2023-04-10,,3,,Active / Unknown,2-3 Years
253,David Kelly,employee253@uptime-solutions.com,Information Technology,Data Analyst,Amy Love,Full-Time,Probation,2026-05-24,,0,,Active / Unknown,0-1 Year
261,Monica Mcbride,employee261@uptime-solutions.com,Sales,Sales Representative,Paul Thompson,Full-Time,Probation,2025-05-02,,1,,Active / Unknown,0-1 Year
265,William Decker,employee265@uptime-solutions.com,Human Resources,HR Specialist,Mark Baker,Contract,Probation,2021-04-12,,5,,Active / Unknown,4-5 Years
274,Joshua Reid,employee274@uptime-solutions.com,Operations,Operations Manager,Jill Romero,Part-Time,Probation,2026-06-04,,0,,Active / Unknown,0-1 Year
283,Cheryl Mckinney,employee283@uptime-solutions.com,Operations,Operations Manager,Tricia Stephens,Temporary,Probation,2023-09-11,,2,,Active / Unknown,2-3 Years
296,Robert Holden,employee296@uptime-solutions.com,Operations,Field Technician,Tricia Stephens,Full-Time,Probation,2020-10-29,,5,,Active / Unknown,4-5 Years
299,Dylan Robles,employee299@uptime-solutions.com,Sales,Sales Representative,Michael Shaffer,Part-Time,Probation,2025-02-07,,1,,Active / Unknown,0-1 Year
304,Jill Hernandez,employee304@uptime-solutions.com,Human Resources,HR Specialist,Karen Richardson,Full-Time,Probation,2020-12-03,,5,,Active / Unknown,4-5 Years
312,William Pace,employee312@uptime-solutions.com,Operations,Operations Manager,Mark Baker,Part-Time,Probation,2026-11-25,,0,,Active / Unknown,0-1 Year
323,Megan Esparza,employee323@uptime-solutions.com,Operations,Field Technician,Kevin Miller,Contract,Probation,2026-10-28,,0,,Active / Unknown,0-1 Year
339,Mike Wilson,employee339@uptime-solutions.com,Sales,Sales Representative,Ian Lyons,Part-Time,Probation,2022-09-25,,3,,Active / Unknown,2-3 Years
342,Michael Williams,employee342@uptime-solutions.com,Information Technology,Data Analyst,Joseph Archer,Part-Time,Probation,2020-05-21,,6,,Active / Unknown,6+ Years
345,Loretta Sanders,employee345@uptime-solutions.com,Finance,Financial Analyst,Michael Shaffer,Full-Time,Probation,2025-03-15,,1,,Active / Unknown,0-1 Year
353,Amanda Preston,employee353@uptime-solutions.com,Operations,Field Technician,Tricia Stephens,Contract,Probation,2021-09-22,,4,,Active / Unknown,4-5 Years
354,Patrick Cook,employee354@uptime-solutions.com,Operations,Field Technician,Benjamin Cole,Contract,Probation,2023-02-17,,3,,Active / Unknown,2-3 Years
376,Michael Pugh,employee376@uptime-solutions.com,Sales,Sales Representative,Mark Baker,Temporary,Probation,2025-07-17,,1,,Active / Unknown,0-1 Year
377,Andrew Cantu,employee377@uptime-solutions.com,Finance,Financial Analyst,Melissa Harris,Temporary,Probation,2021-07-24,,5,,Active / Unknown,4-5 Years
389,Kenneth Rivera,employee389@uptime-solutions.com,Information Technology,Data Analyst,Nicole Smith,Full-Time,Probation,2021-06-07,,5,,Active / Unknown,4-5 Years
395,Joshua Santiago,employee395@uptime-solutions.com,Operations,Field Technician,Nicole Smith,Part-Time,Probation,2020-08-05,,6,,Active / Unknown,6+ Years
406,Anthony Black,employee406@uptime-solutions.com,Information Technology,Software Developer,Jenny Cook,Part-Time,Probation,2020-01-02,,6,,Active / Unknown,6+ Years
407,Steven Lane,employee407@uptime-solutions.com,Sales,Sales Representative,Ian Lyons,Full-Time,Probation,2020-08-03,,6,,Active / Unknown,6+ Years
410,Marie Rodriguez,employee410@uptime-solutions.com,Information Technology,Software Developer,Joseph Archer,Part-Time,Probation,2024-12-23,,1,,Active / Unknown,0-1 Year
418,Joseph Powell,employee418@uptime-solutions.com,Finance,Financial Analyst,Alicia Fisher,Part-Time,Probation,2026-09-09,,0,,Active / Unknown,0-1 Year
421,Anthony Curry,employee421@uptime-solutions.com,Operations,Field Technician,Debra Pratt,Full-Time,Probation,2023-04-30,,3,,Active / Unknown,2-3 Years
422,Margaret Gray,employee422@uptime-solutions.com,Operations,Field Technician,Kevin Miller,Part-Time,Probation,2026-05-17,,0,,Active / Unknown,0-1 Year
430,Terri Howell,employee430@uptime-solutions.com,Human Resources,HR Specialist,Tricia Stephens,Full-Time,Probation,2022-01-31,,4,,Active / Unknown,4-5 Years
435,Vanessa Hickman,employee435@uptime-solutions.com,Human Resources,HR Specialist,Tricia Stephens,Full-Time,Probation,2021-11-08,,4,,Active / Unknown,4-5 Years
442,Ronald Gross,employee442@uptime-solutions.com,Information Technology,Software Developer,Mark Baker,Temporary,Probation,2025-04-07,,1,,Active / Unknown,0-1 Year
449,Allison King,employee449@uptime-solutions.com,Operations,Operations Manager,Richard Dudley,Contract,Probation,2023-09-14,,2,,Active / Unknown,2-3 Years
457,Gabriel Williams,employee457@uptime-solutions.com,Operations,Field Technician,Wesley Lloyd,Contract,Probation,2020-01-26,,6,,Active / Unknown,6+ Years
478,Steven Williams,employee478@uptime-solutions.com,Information Technology,Data Analyst,Brenda Odom,Temporary,Probation,2020-11-15,,5,,Active / Unknown,4-5 Years
483,Erika Nunez,employee483@uptime-solutions.com,Information Technology,Software Developer,Nicole Smith,Contract,Probation,2020-07-14,,6,,Active / Unknown,6+ Years
484,Nicholas Williams,employee484@uptime-solutions.com,Finance,Financial Analyst,Joseph Archer,Full-Time,Probation,2026-12-31,,0,,Active / Unknown,0-1 Year
489,William Gordon,employee489@uptime-solutions.com,Finance,Financial Analyst,Travis Wheeler,Contract,Probation,2021-12-10,,4,,Active / Unknown,4-5 Years
1,Kevin Miller,employee1@uptime-solutions.com,Operations,Operations Manager,No Manager,Full-Time,Active,2017-02-06,,9,,Active / Unknown,6+ Years
2,Mark Baker,employee2@uptime-solutions.com,Finance,Financial Analyst,No Manager,Temporary,Active,2017-06-16,,9,,Active / Unknown,6+ Years
3,Ian Lyons,employee3@uptime-solutions.com,Operations,Operations Manager,No Manager,Temporary,Active,2018-05-26,,8,,Active / Unknown,6+ Years
4,Wesley Lloyd,employee4@uptime-solutions.com,Operations,Field Technician,No Manager,Contract,Active,2017-05-17,,9,,Active / Unknown,6+ Years
5,Tricia Stephens,employee5@uptime-solutions.com,Information Technology,Data Analyst,No Manager,Contract,Active,2019-01-01,,7,,Active / Unknown,6+ Years
6,Joseph Archer,employee6@uptime-solutions.com,Finance,Financial Analyst,No Manager,Temporary,Active,2018-05-13,,8,,Active / Unknown,6+ Years
7,Travis Wheeler,employee7@uptime-solutions.com,Finance,Financial Analyst,No Manager,Contract,Active,2019-12-27,,6,,Active / Unknown,6+ Years
8,Jenny Cook,employee8@uptime-solutions.com,Human Resources,HR Specialist,No Manager,Contract,Active,2018-06-06,,8,,Active / Unknown,6+ Years
9,Paul Thompson,employee9@uptime-solutions.com,Human Resources,HR Specialist,No Manager,Full-Time,Active,2017-03-13,,9,,Active / Unknown,6+ Years
10,Jill Romero,employee10@uptime-solutions.com,Sales,Sales Representative,No Manager,Temporary,Active,2017-05-19,,9,,Active / Unknown,6+ Years
12,Benjamin Cole,employee12@uptime-solutions.com,Operations,Operations Manager,No Manager,Contract,Active,2017-01-10,,9,,Active / Unknown,6+ Years
14,Richard Dudley,employee14@uptime-solutions.com,Human Resources,HR Specialist,No Manager,Part-Time,Active,2020-08-03,,6,,Active / Unknown,6+ Years
15,Brenda Odom,employee15@uptime-solutions.com,Human Resources,HR Specialist,No Manager,Contract,Active,2017-02-19,,9,,Active / Unknown,6+ Years
16,Michael Shaffer,employee16@uptime-solutions.com,Information Technology,Software Developer,No Manager,Full-Time,Active,2019-08-24,,7,,Active / Unknown,6+ Years
17,Debra Pratt,employee17@uptime-solutions.com,Information Technology,Data Analyst,No Manager,Contract,Active,2017-09-24,,8,,Active / Unknown,6+ Years
18,Karen Richardson,employee18@uptime-solutions.com,Finance,Financial Analyst,No Manager,Contract,Active,2020-01-07,,6,,Active / Unknown,6+ Years
19,Alicia Fisher,employee19@uptime-solutions.com,Human Resources,HR Specialist,No Manager,Full-Time,Active,2017-11-10,,8,,Active / Unknown,6+ Years
20,Amy Love,employee20@uptime-solutions.com,Information Technology,Software Developer,No Manager,Temporary,Active,2019-05-04,,7,,Active / Unknown,6+ Years
27,Luke Malone,employee27@uptime-solutions.com,Operations,Operations Manager,Melissa Harris,Temporary,Active,2021-12-10,,4,,Active / Unknown,4-5 Years
29,Christopher Davis,employee29@uptime-solutions.com,Information Technology,Data Analyst,Melissa Harris,Full-Time,Active,2021-12-08,,4,,Active / Unknown,4-5 Years
95,Stephanie Anthony,employee95@uptime-solutions.com,Sales,Sales Representative,Melissa Harris,Full-Time,Active,2023-07-11,,3,,Active / Unknown,2-3 Years
145,Carla Collins,employee145@uptime-solutions.com,Information Technology,Software Developer,Melissa Harris,Temporary,Active,2022-05-01,,4,,Active / Unknown,4-5 Years
183,Erica Moore,employee183@uptime-solutions.com,Sales,Sales Representative,Melissa Harris,Temporary,Active,2020-08-28,,6,,Active / Unknown,6+ Years
200,Antonio Greer,employee200@uptime-solutions.com,Sales,Sales Representative,Melissa Harris,Temporary,Active,2025-06-23,,1,,Active / Unknown,0-1 Year
211,Erin Roberson,employee211@uptime-solutions.com,Information Technology,Data Analyst,Melissa Harris,Part-Time,Active,2025-02-13,,1,,Active / Unknown,0-1 Year
295,Julie Carey,employee295@uptime-solutions.com,Human Resources,HR Specialist,Melissa Harris,Full-Time,Active,2020-03-22,,6,,Active / Unknown,6+ Years
305,Joshua Hickman,employee305@uptime-solutions.com,Information Technology,Software Developer,Melissa Harris,Full-Time,Active,2020-07-19,,6,,Active / Unknown,6+ Years
316,Jennifer Myers,employee316@uptime-solutions.com,Information Technology,Software Developer,Melissa Harris,Part-Time,Active,2025-08-29,,1,,Active / Unknown,0-1 Year
350,Julie Bowers,employee350@uptime-solutions.com,Finance,Financial Analyst,Melissa Harris,Part-Time,Active,2021-11-20,,4,,Active / Unknown,4-5 Years
356,Lori Turner,employee356@uptime-solutions.com,Operations,Field Technician,Melissa Harris,Full-Time,Active,2024-10-23,,1,,Active / Unknown,0-1 Year
375,Danny Cruz,employee375@uptime-solutions.com,Finance,Financial Analyst,Melissa Harris,Contract,Active,2022-03-29,,4,,Active / Unknown,4-5 Years
383,John Ryan,employee383@uptime-solutions.com,Finance,Financial Analyst,Melissa Harris,Part-Time,Active,2022-11-02,,3,,Active / Unknown,2-3 Years
385,Alyssa Lopez,employee385@uptime-solutions.com,Finance,Financial Analyst,Melissa Harris,Part-Time,Active,2024-11-20,,1,,Active / Unknown,0-1 Year
451,Sarah Hall,employee451@uptime-solutions.com,Operations,Field Technician,Melissa Harris,Part-Time,Active,2022-07-28,,4,,Active / Unknown,4-5 Years
496,Joshua Foster,employee496@uptime-solutions.com,Finance,Financial Analyst,Melissa Harris,Full-Time,Active,2020-07-01,,6,,Active / Unknown,6+ Years
21,George Robinson,employee21@uptime-solutions.com,Finance,Financial Analyst,Kevin Miller,Temporary,Active,2022-07-04,,4,,Active / Unknown,4-5 Years
23,Christopher Scott,employee23@uptime-solutions.com,Information Technology,Software Developer,Benjamin Cole,Full-Time,Active,2022-12-28,,3,,Active / Unknown,2-3 Years
32,Brian Roberts,employee32@uptime-solutions.com,Information Technology,Data Analyst,Nicole Smith,Full-Time,Active,2025-07-11,,1,,Active / Unknown,0-1 Year
33,Ashley Thompson,employee33@uptime-solutions.com,Information Technology,Data Analyst,Mark Baker,Full-Time,Active,2025-07-29,,1,,Active / Unknown,0-1 Year
34,Kimberly Gutierrez,employee34@uptime-solutions.com,Information Technology,Data Analyst,Mark Baker,Part-Time,Active,2023-03-11,,3,,Active / Unknown,2-3 Years
35,Craig Nelson,employee35@uptime-solutions.com,Human Resources,HR Specialist,Tricia Stephens,Part-Time,Active,2024-10-25,,1,,Active / Unknown,0-1 Year
36,Michael Mcdonald,employee36@uptime-solutions.com,Human Resources,HR Specialist,Alicia Fisher,Temporary,Active,2020-08-18,,6,,Active / Unknown,6+ Years
39,James Owens,employee39@uptime-solutions.com,Operations,Field Technician,Jill Romero,Temporary,Active,2022-03-03,,4,,Active / Unknown,4-5 Years
42,Thomas Lee,employee42@uptime-solutions.com,Sales,Sales Representative,Ian Lyons,Part-Time,Active,2020-08-09,,6,,Active / Unknown,6+ Years
47,Sandra Riley,employee47@uptime-solutions.com,Information Technology,Software Developer,Jenny Cook,Contract,Active,2025-08-12,,1,,Active / Unknown,0-1 Year
48,Laurie Harrison,employee48@uptime-solutions.com,Finance,Financial Analyst,Michael Shaffer,Part-Time,Active,2020-04-17,,6,,Active / Unknown,6+ Years
50,Courtney Mccall,employee50@uptime-solutions.com,Human Resources,HR Specialist,Richard Dudley,Full-Time,Active,2024-10-06,,1,,Active / Unknown,0-1 Year
52,Matthew Montgomery,employee52@uptime-solutions.com,Finance,Financial Analyst,Paul Thompson,Contract,Active,2022-03-02,,4,,Active / Unknown,4-5 Years
53,Anthony Butler,employee53@uptime-solutions.com,Information Technology,Software Developer,Travis Wheeler,Contract,Active,2020-08-25,,6,,Active / Unknown,6+ Years
54,Evelyn Burton,employee54@uptime-solutions.com,Human Resources,HR Specialist,Wesley Lloyd,Contract,Active,2022-12-15,,3,,Active / Unknown,2-3 Years
55,Angela Dixon,employee55@uptime-solutions.com,Human Resources,HR Specialist,Alicia Fisher,Contract,Active,2021-12-31,,4,,Active / Unknown,4-5 Years
56,Cheryl Branch,employee56@uptime-solutions.com,Operations,Field Technician,Wesley Lloyd,Full-Time,Active,2025-05-20,,1,,Active / Unknown,0-1 Year
59,Ronald Oconnor,employee59@uptime-solutions.com,Finance,Financial Analyst,Jenny Cook,Part-Time,Active,2025-01-09,,1,,Active / Unknown,0-1 Year
60,Michele White,employee60@uptime-solutions.com,Sales,Sales Representative,Jenny Cook,Full-Time,Active,2021-12-05,,4,,Active / Unknown,4-5 Years
